animal,fold,n_train,n_val,group_violations,C,gamma,accuracy,macro_f1,food_f1,elapsed_s
cat,1,319,121,0.0,1.0,0.001,0.6528925619834711,0.5746980270876993,0.32558139534883723,0.02671337127685547
cat,1,319,121,0.0,1.0,0.01,0.5454545454545454,0.23529411764705885,0.0,0.03001689910888672
cat,1,319,121,0.0,10.0,scale,0.6198347107438017,0.5017642069550466,0.16666666666666666,0.03604722023010254
cat,1,319,121,0.0,10.0,0.001,0.6446280991735537,0.5225887718029613,0.17647058823529413,0.03131580352783203
cat,1,319,121,0.0,10.0,0.01,0.5454545454545454,0.23529411764705885,0.0,0.03108835220336914
cat,2,352,88,0.0,0.1,scale,0.4772727272727273,0.34850966262692434,0.0,0.05099987983703613
cat,2,352,88,0.0,0.1,0.001,0.4772727272727273,0.34850966262692434,0.0,0.050023794174194336
cat,2,352,88,0.0,0.1,0.01,0.375,0.1818181818181818,0.0,0.03993344306945801
cat,2,352,88,0.0,1.0,scale,0.38636363636363635,0.38068636072913337,0.2711864406779661,0.038836002349853516
cat,2,352,88,0.0,1.0,0.001,0.375,0.3680455874534822,0.24561403508771928,0.03715229034423828
cat,2,352,88,0.0,1.0,0.01,0.4090909090909091,0.19354838709677422,0.0,0.04749488830566406
cat,2,352,88,0.0,10.0,scale,0.3409090909090909,0.3189174058328522,0.2413793103448276,0.06033062934875488
cat,2,352,88,0.0,10.0,0.001,0.32954545454545453,0.3095862546976932,0.24561403508771928,0.04033184051513672
cat,2,352,88,0.0,10.0,0.01,0.4090909090909091,0.19354838709677422,0.0,0.036969900131225586
cat,3,327,113,0.0,0.1,scale,0.34513274336283184,0.2744789323736692,0.37606837606837606,0.03651785850524902
cat,3,327,113,0.0,0.1,0.001,0.3185840707964602,0.25007610350076104,0.36666666666666664,0.03450942039489746
cat,3,327,113,0.0,0.1,0.01,0.20353982300884957,0.11274509803921569,0.3382352941176471,0.036524057388305664
cat,3,327,113,0.0,1.0,scale,0.6548672566371682,0.5936023113277212,0.5405405405405406,0.03299689292907715
cat,3,327,113,0.0,1.0,0.001,0.6460176991150443,0.5726495726495727,0.5,0.03451180458068848
cat,3,327,113,0.0,1.0,0.01,0.504424778761062,0.22352941176470587,0.0,0.035602569580078125
cat,3,327,113,0.0,10.0,scale,0.6106194690265486,0.5140291806958474,0.4444444444444444,0.034180402755737305
cat,3,327,113,0.0,10.0,0.001,0.6194690265486725,0.5216271468937589,0.45714285714285713,0.03618597984313965
cat,3,327,113,0.0,10.0,0.01,0.504424778761062,0.22352941176470587,0.0,0.035447120666503906
